k	d	mass	p	kw_d
10	4	246505282886240593419263793443729571840	0.22469804981067894	2
10	6	36714281618947739622082349850314145792	0.033466331363716547	2
11	1	70965760148042599224365797855331352576	0.064687732943867204	3
11	2	282262408315991002473533918042677837824	0.25729190036360444	3
11	3	460601695984879323090207199175645331456	0.41985429932978753	3
11	4	246506656569918216111672572526345584640	0.22469930197063188	3
11	6	36714757770350649136332583576579080192	0.033466765392108943	3
12	1	70963738181112371742433167997013065728	0.064685889851416267	2
12	2	282271447262271411727499915558551289856	0.25730013967425033	2
12	3	460588046753393410849681293874550538240	0.41984185758549553	2
12	4	246511662705081874296351237890906259456	0.22470386523513961	2
12	6	36716383887322721420146455855558033408	0.033468247653698271	2
13	1	70964568258396080411800621920955662336	0.064686646495430779	2
13	2	282268772345853184161854441797938315264	0.25729770139586723	2
13	3	460592231141398164449627863736094031872	0.41984567179918422	2
13	4	246509861065764353610617641121781645312	0.22470222297889110	2
13	6	36715845977770007402211502599809531904	0.033467757330626675	2
14	1	70969636640330162072486976267504058368	0.064691266500012220	3
14	2	282246107065687892322634660829542219776	0.25727704121288079	3
14	3	460629186746473807000494859418572161024	0.41987935810518482	3
14	4	246493748506511365694057734836219543552	0.22468753582655418	3
14	6	36712599830178562946437839824741203968	0.033464798355367992	3
15	1	70958887141754717928131114935271817216	0.064681467962073949	3
15	2	282290440673504230358472890417594499072	0.25731745282232284	3
15	3	460553529631576341712582296665554157568	0.41981039404091522	3
15	4	246529805124071595617134229169056514048	0.22472040267449225	3
15	6	36718616218274904419791539989102198784	0.033470282500195736	3
16	1	70969732722214114312955167991062855680	0.064691354081956482	4
16	2	282248115948365769429986886508206882816	0.25727887237858536	4
16	3	460629450806443364110224379435448008704	0.41987959880493574	4
16	4	246490673536491403877769917202186633216	0.22468473288554366	4
16	6	36713305775667138305175720039674806272	0.033465441848978750	4
17	1	70964500148600469929683768138121871360	0.064686584411007810	2
17	2	282267881607980891865232604742562086912	0.25729688945763834	2
17	3	460591904352882679644904606175154143232	0.41984537392020463	2
17	4	246511453372787702200755348317776379904	0.22470367442154846	2
17	6	36715539306930046395535743802964705280	0.033467477789600754	2
18	1	70963712287383188283460144425672376320	0.064685866248390880	6
18	2	282269878205653767197628740571865546752	0.25729870942513802	6
18	3	460588193757362191921593173633358888960	0.41984199158467280	6
18	4	246513695759650150648083354561156218880	0.22470571843435425	6
18	6	36715798779132491985346657984526155776	0.033467714307444051	6
19	1	70965791108982540432685175970321137664	0.064687761165829604	3
19	2	282263454576739033529591981488283320320	0.25729285406628750	3
19	3	460601783999780060205531453399918182400	0.41985437955839894	3
19	4	246505079315519387324560315621620842496	0.22469786424895986	3
19	6	36715169788160768543743144696435703808	0.033467140960524099	3
20	1	70966477618994395691734727726160936960	0.064688386943334383	4
20	2	282261580585502955874543135067694170112	0.25729114585877495	4
20	3	460605671779231668638478735853316210688	0.41985792340318247	4
20	4	246502489031080374560232789485618724864	0.22469550311553876	4
20	6	36715059774372395271122683043789144064	0.033467040679169435	4
21	1	70964567910075061167136143699697729536	0.064686646177924181	3
21	2	282266791857461987231176073088161808384	0.25729589611253226	3
21	3	460593280190017111699673079916705873920	0.41984662804310757	3
21	4	246511268858974676605595777598568267776	0.22470350623085712	3
21	6	36715369972652953332530996873445507072	0.033467323435578871	3
22	1	70963376298471444196640725464514560000	0.064685559982933431	3
22	2	282269689650999379996795114780222291968	0.25729853755108069	3
22	3	460586296398969591514962226053705105408	0.41984026207719281	3
22	4	246516479010122198708837788806027411456	0.22470825546295616	3
22	6	36715437430619175618876216072109817856	0.033467384925836917	3
23	1	70966291003986221632977643766141681664	0.064688216837331335	3
23	2	282262717638536034918479284521802924032	0.25729218232175081	3
23	3	460605289927535104765148683460155539456	0.41985757533221811	3
23	4	246501606187408607822133558062138523648	0.22469469837314536	3
23	6	36715374031715820897372901366340517888	0.033467327135554384	3
24	1	70969522277266516487054730776776015872	0.064691162254143447	4
24	2	282256086708129256861298967534360330240	0.25728613800045518	4
24	3	460624285960455646467838138515468582912	0.41987489087004922	4
24	4	246485886991507712442912018749447995392	0.22468036978504304	4
24	6	36715496851822657777008215600526262272	0.033467439090309108	4
25	1	70962655477605849846048813870483505152	0.064684902929904524	1
25	2	282270558264536486080555658914402664448	0.25729932932221655	1
25	3	460578380873767145190942639152789716992	0.41983304680352649	1
25	4	246525129904943940178055145807396470784	0.22471614105134113	1
25	6	36714554268328368740509813431506829312	0.033466579893011303	1
26	1	70948775861792582265814917555356172288	0.064672251182368541	2
26	2	282293276264583464574049195551187009536	0.25732003756118971	2
26	3	460496610420302713911411793038302773248	0.41975851022073823	2
26	4	246599726015747250871565588224498728960	0.22478413797386024	2
26	6	36712890226755778413270576807234502656	0.033465063061843277	2
27	1	70973788586186482241595762306396979200	0.064695051141565988	3
27	2	282243561501194841132967794063691481088	0.25727472084322964	3
27	3	460679040319496981367379253143812440064	0.41992480135290447	3
27	4	246432474123594309404963726602310516736	0.22463168211752366	3
27	6	36722414258709175889205535060367769600	0.033473744544776244	3
28	1	71079915161822476855116998271760859136	0.064791789168026453	3
28	2	282131567902844201578794602161086922752	0.25717263482362785	3
28	3	461339380940457661258718454086413320192	0.42052672455715933	3
28	4	245753736825052810261953720924971728896	0.22401298970845904	3
28	6	36746677959004640081528295732346355712	0.033495861742727322	3
29	1	70901174023260668585103493186266857472	0.064628860468140076	1
29	2	282440817291374051187972034689836777472	0.25745452628532066	1
29	3	459997575125820209225507860361892593664	0.41930362237353269	1
29	4	247050513985149952072003297689250824192	0.22519504672363193	1
29	6	36661198363576908965525385249332133888	0.033417944149374644	1
30	1	67494382875422355227389223131240464384	0.061523453078616409	3
30	2	284858347548251334687574399307690803200	0.25965818832338466	3
30	3	446354910788306158759164820102846611456	0.40686786426332703	3
30	4	263511926004517939898096164978802294784	0.24020019036426146	3
30	6	34831711572684001463887463655999012864	0.031750303970410433	3
